"Collection Name","Title#1","Title Type#1","Name#1","Name Role Term Text#1","Name URI#1","Resource Type#1","Resource Type URI#1","Genre#1","Genre URI#1","Date Created#1","Language Term#1","Language Term URI#1","Language Term Type#1","Extent#1","Form#1","Form URI#1","Abstract#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Topic#6","Subject Topic URI#6","Subject Topic#7","Subject Topic URI#7","Subject Geographic#1","Subject Geographic URI#1","Subject Geographic#2","Subject Geographic URI#2","Subject Geographic#3","Subject Geographic URI#3","Subject Geographic#4","Subject Geographic URI#4","Subject Geographic#5","Subject Geographic URI#5","Subject Geographic#6","Subject Geographic URI#6","Subject Temporal#1","Subject Temporal URI#1","Identifier#1","Identifier ARK#1","Physical Location#1","Date Captured#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"CU Museum of Natural History: Joe Ben Wheat Collection on Textiles","Archaeological: textile analysis sheets","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Artifact analysis worksheet","local","1972/1979","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","63 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This file contains textile analysis sheets for textiles recovered as part of formal and unpermitted archaeological excavations. Most of the textiles in this file are from sites associated with the Diné (Navajo).","Textile research","https://lccn.loc.gov/sh85134390","Navajo textile fabrics","https://lccn.loc.gov/sh85090349","Indian textile fabrics","https://lccn.loc.gov/sh85065072","Textile industry","https://lccn.loc.gov/sh85134373","Dyes and dyeing","https://lccn.loc.gov/sh85040281","Indians of North America","https://lccn.loc.gov/sh85065184","","","Navajo Nation, Arizona, New Mexico & Utah","https://lccn.loc.gov/no97004282","Southwest, New--Antiquities","https://lccn.loc.gov/sh85125670","","","","","","","","","Twentieth century","https://lccn.loc.gov/sh85139020","JBT01_001.pdf","https://ark.colorado.edu/ark:/47540/gp832k0306gv","CU Museum of Natural History","2023","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1","1247858","5255","JBT01_001.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~46~46~1~1247858"
"CU Museum of Natural History: Joe Ben Wheat Collection on Textiles","California Academy of Sciences: textile analysis sheets","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Artifact analysis worksheet","local","1972/1979","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","134 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This file contains textile analysis sheets for textiles in the collections of the California Academy of Sciences. Joe Ben Wheat analyzed these textiles most likely as part of a project to compile a catalog for CAS of material from their ""Elkus"" collection, a substantial collection of Southwest Native art. The catalog, ""The Elkus Collection: Southwestern Indian Art"" was published in 1984.","Textile research","https://lccn.loc.gov/sh85134390","Navajo textile fabrics","https://lccn.loc.gov/sh85090349","Indian textile fabrics","https://lccn.loc.gov/sh85065072","Textile industry","https://lccn.loc.gov/sh85134373","Dyes and dyeing","https://lccn.loc.gov/sh85040281","Indians of North America","https://lccn.loc.gov/sh85065184","","","Navajo Nation, Arizona, New Mexico & Utah","https://lccn.loc.gov/no97004282","Southwest, New--Antiquities","https://lccn.loc.gov/sh85125670","","","","","","","","","Twentieth century","https://lccn.loc.gov/sh85139020","JBT01_002.pdf","https://ark.colorado.edu/ark:/47540/g4112w27p2n6","CU Museum of Natural History","2023","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","2","1247856","5255","JBT01_002.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~46~46~2~1247856"
"CU Museum of Natural History: Joe Ben Wheat Collection on Textiles","Chief's blankets (male and female): textile analysis sheets","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Artifact analysis worksheet","local","1972/1990","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","102 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This file contains textile analysis sheets for garments referred to as Chief's Blankets, though Joe Ben Wheat noted that these blankets were not manufactured exclusively for men nor for chiefs. Chief's blankets are characterized by superb weaving from fine materials.","Textile research","https://lccn.loc.gov/sh85134390","Navajo textile fabrics","https://lccn.loc.gov/sh85090349","Indian textile fabrics","https://lccn.loc.gov/sh85065072","Textile industry","https://lccn.loc.gov/sh85134373","Dyes and dyeing","https://lccn.loc.gov/sh85040281","Indians of North America","https://lccn.loc.gov/sh85065184","Navajo blankets","https://lccn.loc.gov/sh2002005112","Navajo Nation, Arizona, New Mexico & Utah","https://lccn.loc.gov/no97004282","Southwest, New--Antiquities","https://lccn.loc.gov/sh85125670","","","","","","","","","Twentieth century","https://lccn.loc.gov/sh85139020","JBT01_003.pdf","https://ark.colorado.edu/ark:/47540/zj5f9q12r7xg","CU Museum of Natural History","2023","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","3","1247854","5255","JBT01_003.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~46~46~3~1247854"
"CU Museum of Natural History: Joe Ben Wheat Collection on Textiles","Commercial cloth / Bayeta: textile analysis sheets","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Artifact analysis worksheet","local","1972/1982","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","13 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This file contains textile analysis sheets for textiles woven of raveled commercial cloth, also known as bayeta. Bayeta is a form of cloth imported to Spanish America which was raveled, i.e. taken apart, to be rewoven. It was frequently used in this way by Diné (Navajo) weavers.","Textile research","https://lccn.loc.gov/sh85134390","Navajo textile fabrics","https://lccn.loc.gov/sh85090349","Indian textile fabrics","https://lccn.loc.gov/sh85065072","Textile industry","https://lccn.loc.gov/sh85134373","Dyes and dyeing","https://lccn.loc.gov/sh85040281","Indians of North America","https://lccn.loc.gov/sh85065184","Hopi textile fabrics","https://lccn.loc.gov/sh95000187","Navajo Nation, Arizona, New Mexico & Utah","https://lccn.loc.gov/no97004282","Southwest, New--Antiquities","https://lccn.loc.gov/sh85125670","Hopi Tribe of Arizona","https://lccn.loc.gov/n85166936","","","","","","","Twentieth century","https://lccn.loc.gov/sh85139020","JBT01_004.pdf","https://ark.colorado.edu/ark:/47540/x37s3x2560q5","CU Museum of Natural History","2023","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","4","1247852","5255","JBT01_004.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~46~46~4~1247852"
"CU Museum of Natural History: Joe Ben Wheat Collection on Textiles","CU Museum textiles, items 1 - 50: textile analysis sheets","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Artifact analysis worksheet","local","1967/1993","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","57 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This file contains textile analysis sheets for textiles located at the University of Colorado Museum of Natural History, many of which were donated to the Museum by Joe Ben Wheat. Many different forms, styles, and periods are represented by this collection of textiles. Sheets for textiles belonging to Wheat were labeled with numbers from Wheat's cataloging system. CUMNH catalog numbers were added at later dates as they were accessioned by the museum.","Textile research","https://lccn.loc.gov/sh85134390","Navajo textile fabrics","https://lccn.loc.gov/sh85090349","Indian textile fabrics","https://lccn.loc.gov/sh85065072","Textile industry","https://lccn.loc.gov/sh85134373","Dyes and dyeing","https://lccn.loc.gov/sh85040281","Indians of North America","https://lccn.loc.gov/sh85065184","","","Navajo Nation, Arizona, New Mexico & Utah","https://lccn.loc.gov/no97004282","Southwest, New--Antiquities","https://lccn.loc.gov/sh85125670","","","","","","","","","Twentieth century","https://lccn.loc.gov/sh85139020","JBT01_005.01.pdf","https://ark.colorado.edu/ark:/47540/803p715473hr","CU Museum of Natural History","2023","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","5","1247850","5255","JBT01_005.01.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~46~46~5~1247850"
"CU Museum of Natural History: Joe Ben Wheat Collection on Textiles","CU Museum textiles, items 101 - 150: textile analysis sheets","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Artifact analysis worksheet","local","1967/1993","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","65 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This file contains textile analysis sheets for textiles located at the University of Colorado Museum of Natural History, many of which were donated to the Museum by Joe Ben Wheat. Many different forms, styles, and periods are represented by this collection of textiles. Sheets for textiles belonging to Wheat were labeled with numbers from Wheat's cataloging system. CUMNH catalog numbers were added at later dates as they were accessioned by the museum.","Textile research","https://lccn.loc.gov/sh85134390","Navajo textile fabrics","https://lccn.loc.gov/sh85090349","Indian textile fabrics","https://lccn.loc.gov/sh85065072","Textile industry","https://lccn.loc.gov/sh85134373","Dyes and dyeing","https://lccn.loc.gov/sh85040281","Indians of North America","https://lccn.loc.gov/sh85065184","","","Navajo Nation, Arizona, New Mexico & Utah","https://lccn.loc.gov/no97004282","Southwest, New--Antiquities","https://lccn.loc.gov/sh85125670","Zuni Tribe of the Zuni Reservation, New Mexico","https://lccn.loc.gov/no2008088949","","","","","","","Twentieth century","https://lccn.loc.gov/sh85139020","JBT01_005.03.pdf","https://ark.colorado.edu/ark:/47540/wt2n54163638","CU Museum of Natural History","2023","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","7","1247846","5255","JBT01_005.03.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~46~46~7~1247846"
"CU Museum of Natural History: Joe Ben Wheat Collection on Textiles","CU Museum textiles, items 151 - 200: textile analysis sheets","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Artifact analysis worksheet","local","1967/1993","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","90 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This file contains textile analysis sheets for textiles located at the University of Colorado Museum of Natural History, many of which were donated to the Museum by Joe Ben Wheat. Many different forms, styles, and periods are represented by this collection of textiles. Sheets for textiles belonging to Wheat were labeled with numbers from Wheat's cataloging system. CUMNH catalog numbers were added at later dates as they were accessioned by the museum.","Textile research","https://lccn.loc.gov/sh85134390","Navajo textile fabrics","https://lccn.loc.gov/sh85090349","Indian textile fabrics","https://lccn.loc.gov/sh85065072","Textile industry","https://lccn.loc.gov/sh85134373","Dyes and dyeing","https://lccn.loc.gov/sh85040281","Indians of North America","https://lccn.loc.gov/sh85065184","","","Navajo Nation, Arizona, New Mexico & Utah","https://lccn.loc.gov/no97004282","Southwest, New--Antiquities","https://lccn.loc.gov/sh85125670","Zuni Tribe of the Zuni Reservation, New Mexico","https://lccn.loc.gov/no2008088949","","","","","","","Twentieth century","https://lccn.loc.gov/sh85139020","JBT01_005.04.pdf","https://ark.colorado.edu/ark:/47540/341p6973j09v","CU Museum of Natural History","2023","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","8","1247844","5255","JBT01_005.04.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~46~46~8~1247844"
"CU Museum of Natural History: Joe Ben Wheat Collection on Textiles","CU Museum textiles, items 201 - 250: textile analysis sheets","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Artifact analysis worksheet","local","1967/1993","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","81 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This file contains textile analysis sheets for textiles located at the University of Colorado Museum of Natural History, many of which were donated to the Museum by Joe Ben Wheat. Many different forms, styles, and periods are represented by this collection of textiles. Sheets for textiles belonging to Wheat were labeled with numbers from Wheat's cataloging system. CUMNH catalog numbers were added at later dates as they were accessioned by the museum.","Textile research","https://lccn.loc.gov/sh85134390","Navajo textile fabrics","https://lccn.loc.gov/sh85090349","Indian textile fabrics","https://lccn.loc.gov/sh85065072","Textile industry","https://lccn.loc.gov/sh85134373","Dyes and dyeing","https://lccn.loc.gov/sh85040281","Indians of North America","https://lccn.loc.gov/sh85065184","Hopi textile fabrics","https://lccn.loc.gov/sh95000187","Navajo Nation, Arizona, New Mexico & Utah","https://lccn.loc.gov/no97004282","Southwest, New--Antiquities","https://lccn.loc.gov/sh85125670","Zuni Tribe of the Zuni Reservation, New Mexico","https://lccn.loc.gov/no2008088949","Hopi Tribe of Arizona","https://lccn.loc.gov/n85166936","","","","","Twentieth century","https://lccn.loc.gov/sh85139020","JBT01_005.05.pdf","https://ark.colorado.edu/ark:/47540/6v5j3p03z3t5","CU Museum of Natural History","2023","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","9","1247842","5255","JBT01_005.05.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~46~46~9~1247842"
"CU Museum of Natural History: Joe Ben Wheat Collection on Textiles","CU Museum textiles, items 251 - 300: textile analysis sheets","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Artifact analysis worksheet","local","1967/1993","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","52 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This file contains textile analysis sheets for textiles located at the University of Colorado Museum of Natural History, many of which were donated to the Museum by Joe Ben Wheat. Many different forms, styles, and periods are represented by this collection of textiles. Sheets for textiles belonging to Wheat were labeled with numbers from Wheat's cataloging system. CUMNH catalog numbers were added at later dates as they were accessioned by the museum.","Textile research","https://lccn.loc.gov/sh85134390","Navajo textile fabrics","https://lccn.loc.gov/sh85090349","Indian textile fabrics","https://lccn.loc.gov/sh85065072","Textile industry","https://lccn.loc.gov/sh85134373","Dyes and dyeing","https://lccn.loc.gov/sh85040281","Indians of North America","https://lccn.loc.gov/sh85065184","","","Navajo Nation, Arizona, New Mexico & Utah","https://lccn.loc.gov/no97004282","Southwest, New--Antiquities","https://lccn.loc.gov/sh85125670","","","","","","","","","Twentieth century","https://lccn.loc.gov/sh85139020","JBT01_005.06.pdf","https://ark.colorado.edu/ark:/47540/j8781856h2x6","CU Museum of Natural History","2023","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","10","1247840","5255","JBT01_005.06.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~46~46~10~1247840"
"CU Museum of Natural History: Joe Ben Wheat Collection on Textiles","CU Museum textiles, items 301 - 350: textile analysis sheets","Devised","Wheat, Joe Ben","Creator","http://id.loc.gov/authorities/names/n86818999","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Artifact analysis worksheet","local","1967/1993","English","http://id.loc.gov/vocabulary/iso639-2/eng","eng","53 pages","Records (Documents)","http://id.loc.gov/authorities/genreForms/gf2014026163","This file contains textile analysis sheets for textiles located at the University of Colorado Museum of Natural History, many of which were donated to the Museum by Joe Ben Wheat. Many different forms, styles, and periods are represented by this collection of textiles. Sheets for textiles belonging to Wheat were labeled with numbers from Wheat's cataloging system. CUMNH catalog numbers were added at later dates as they were accessioned by the museum.","Textile research","https://lccn.loc.gov/sh85134390","Navajo textile fabrics","https://lccn.loc.gov/sh85090349","Indian textile fabrics","https://lccn.loc.gov/sh85065072","Textile industry","https://lccn.loc.gov/sh85134373","Dyes and dyeing","https://lccn.loc.gov/sh85040281","Indians of North America","https://lccn.loc.gov/sh85065184","Hopi textile fabrics","https://lccn.loc.gov/sh95000187","Navajo Nation, Arizona, New Mexico & Utah","https://lccn.loc.gov/no97004282","Southwest, New--Antiquities","https://lccn.loc.gov/sh85125670","Hopi Tribe of Arizona","https://lccn.loc.gov/n85166936","","","","","","","Twentieth century","https://lccn.loc.gov/sh85139020","JBT01_005.07.pdf","https://ark.colorado.edu/ark:/47540/nw6h2m1062wk","CU Museum of Natural History","2023","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","11","1247838","5255","JBT01_005.07.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~46~46~11~1247838"
